Name,Price,Price_Origin,LINK,IMG,RATING
Điện Thoại Samsung Galaxy S21 FE 5G 8GB/128GB - Hàng Chính Hãng,9.724.000 ₫,12.900.000 ₫,"https://tiki.vn/dien-thoai-samsung-galaxy-s21-fe-5g-8gb-128gb-hang-chinh-hang-p159853930.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.196284491&itm_medium=CPC&itm_source=tiki-reco&spid=196284491
",https://salt.tikicdn.com/cache/200x280/ts/product/e9/a7/19/0db20d2f68b48b42b8fee95d4e2016fe.jpg,None

Điện Thoại Xiaomi Redmi 10C 4GB/128GB - Hàng Chính Hãng,3.229.000 ₫,3.890.000 ₫,"https://tiki.vn/dien-thoai-xiaomi-redmi-10c-4gb-128gb-hang-chinh-hang-p170775712.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.170775714&itm_medium=CPC&itm_source=tiki-reco&spid=170775714
",https://salt.tikicdn.com/cache/200x280/ts/product/4d/43/48/493e42bd7a889b39d6cfa558ca0df095.jpg,None

Điện thoại OPPO Reno8 4G (8GB/256GB) - Hàng chính hãng,7.890.000 ₫,8.990.000 ₫,"https://tiki.vn/dien-thoai-oppo-reno8-4g-8gb-256gb-hang-chinh-hang-p195352781.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.195352785&itm_medium=CPC&itm_source=tiki-reco&spid=195352785
",https://salt.tikicdn.com/cache/200x280/ts/product/37/33/23/0938ba2e650f2df91161939f557b5a47.jpg,None

Điện thoại Samsung Galaxy A23 (4GB/128GB) - Hàng chính hãng,4.269.000 ₫,5.690.000 ₫,"https://tiki.vn/dien-thoai-samsung-galaxy-a23-4gb-128gb-hang-chinh-hang-p172828967.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.172828969&itm_medium=CPC&itm_source=tiki-reco&spid=172828969
",https://salt.tikicdn.com/cache/200x280/ts/product/19/d4/08/5f2fe314563ba5586e12987a6dbeb733.jpg,None

Điện thoại OPPO A96 (8GB/128GB) - Hàng chính hãng,5.990.000 ₫,6.990.000 ₫,"https://tiki.vn/dien-thoai-oppo-a96-8gb-128gb-hang-chinh-hang-p202046077.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.202046081&itm_medium=CPC&itm_source=tiki-reco&spid=202046081
",https://salt.tikicdn.com/cache/200x280/ts/product/03/54/1b/d71f24cd248b608f223c2005e35a4bdf.jpg,None

